Level,Month,ProductId,Metric,Value
Overall,,,NPS,65.59845909170113
Overall,,,CSAT,4.183925
Monthly,2006-07-01,,NPS,73.2476990232499
Monthly,2006-08-01,,NPS,77.17608602322787
Monthly,2006-09-01,,NPS,77.6312615737791
Monthly,2006-10-01,,NPS,80.22096564530382
Monthly,2006-11-01,,NPS,80.15734284790987
Monthly,2006-12-01,,NPS,79.80397660173718
Monthly,2007-01-01,,NPS,80.81768859276066
Monthly,2007-02-01,,NPS,82.36852062704787
Monthly,2007-03-01,,NPS,82.36838678487761
Monthly,2007-04-01,,NPS,81.39310326611194
Monthly,2007-05-01,,NPS,81.1170305430306
Monthly,2007-06-01,,NPS,83.00509572849859
Monthly,2007-07-01,,NPS,83.9009635099258
Monthly,2007-08-01,,NPS,83.61539666435985
Monthly,2007-09-01,,NPS,83.72440458965114
Monthly,2007-10-01,,NPS,81.83244641746363
Monthly,2007-11-01,,NPS,79.58098640533497
Monthly,2007-12-01,,NPS,77.45056039597013
Monthly,2008-01-01,,NPS,77.28653104856848
Monthly,2008-02-01,,NPS,77.96124574373154
Monthly,2008-03-01,,NPS,79.12466645335451
Monthly,2008-04-01,,NPS,78.85774622733112
Monthly,2008-05-01,,NPS,78.93695817428124
Monthly,2008-06-01,,NPS,77.91212448570917
Monthly,2008-07-01,,NPS,78.0598943392687
Monthly,2008-08-01,,NPS,74.24724556884239
Monthly,2008-09-01,,NPS,73.42368885624006
Monthly,2008-10-01,,NPS,72.27274939424639
Monthly,2008-11-01,,NPS,76.05329141617655
Monthly,2008-12-01,,NPS,75.54819774818746
Monthly,2009-01-01,,NPS,77.24966176841741
Monthly,2009-02-01,,NPS,75.26920867071334
Monthly,2009-03-01,,NPS,77.55435100260536
Monthly,2009-04-01,,NPS,76.93243249222589
Monthly,2009-05-01,,NPS,76.81121338324952
Monthly,2009-06-01,,NPS,76.12703000632088
Monthly,2009-07-01,,NPS,73.05742660941196
Monthly,2009-08-01,,NPS,73.30509782677929
Monthly,2009-09-01,,NPS,72.17265615956956
Monthly,2009-10-01,,NPS,74.04500956935199
Monthly,2009-11-01,,NPS,72.99603693919143
Monthly,2009-12-01,,NPS,71.74707401559188
Monthly,2010-01-01,,NPS,71.4319120901287
Monthly,2010-02-01,,NPS,72.03221077695129
Monthly,2010-03-01,,NPS,70.1009539660077
Monthly,2010-04-01,,NPS,70.69313849910382
Monthly,2010-05-01,,NPS,70.23084923633951
Monthly,2010-06-01,,NPS,71.90659932330901
Monthly,2010-07-01,,NPS,69.36338693963381
Monthly,2010-08-01,,NPS,66.86392336963972
Monthly,2010-09-01,,NPS,66.26525576905568
Monthly,2010-10-01,,NPS,63.58448857232512
Monthly,2010-11-01,,NPS,63.93394279101343
Monthly,2010-12-01,,NPS,61.056055244201296
Monthly,2011-01-01,,NPS,61.98944713197843
Monthly,2011-02-01,,NPS,60.26673389667636
Monthly,2011-03-01,,NPS,62.696261855076706
Monthly,2011-04-01,,NPS,62.85442447367803
Monthly,2011-05-01,,NPS,64.16887192492429
Monthly,2011-06-01,,NPS,62.11646438227851
Monthly,2011-07-01,,NPS,62.836737230899196
Monthly,2011-08-01,,NPS,63.31390845831701
Monthly,2011-09-01,,NPS,64.185997901303
Monthly,2011-10-01,,NPS,63.16387947165439
Monthly,2011-11-01,,NPS,61.989509241055714
Monthly,2011-12-01,,NPS,57.732774747697896
Monthly,2012-01-01,,NPS,56.256694709471475
Monthly,2012-02-01,,NPS,54.14992180175014
Monthly,2012-03-01,,NPS,55.1559000217541
Monthly,2012-04-01,,NPS,55.46930795368929
Monthly,2012-05-01,,NPS,55.34303907607432
Monthly,2012-06-01,,NPS,54.98401861045102
Monthly,2012-07-01,,NPS,54.06455798836498
Monthly,2012-08-01,,NPS,53.28573207629
Monthly,2012-09-01,,NPS,54.52561042936194
Monthly,2012-10-01,,NPS,52.00528396693375
Monthly,2006-07-01,,CSAT,4.220238095238095
Monthly,2006-08-01,,CSAT,4.279100529100528
Monthly,2006-09-01,,CSAT,4.272273915952077
Monthly,2006-10-01,,CSAT,4.274618793296955
Monthly,2006-11-01,,CSAT,4.291191525449396
Monthly,2006-12-01,,CSAT,4.27242200847378
Monthly,2007-01-01,,CSAT,4.334401247872375
Monthly,2007-02-01,,CSAT,4.36385364095166
Monthly,2007-03-01,,CSAT,4.394332928042219
Monthly,2007-04-01,,CSAT,4.369803660055861
Monthly,2007-05-01,,CSAT,4.361478823765556
Monthly,2007-06-01,,CSAT,4.406592460129192
Monthly,2007-07-01,,CSAT,4.446390377440255
Monthly,2007-08-01,,CSAT,4.426860140271034
Monthly,2007-09-01,,CSAT,4.441329837240731
Monthly,2007-10-01,,CSAT,4.395497368540448
Monthly,2007-11-01,,CSAT,4.34887438466948
Monthly,2007-12-01,,CSAT,4.322777502709569
Monthly,2008-01-01,,CSAT,4.339918949342141
Monthly,2008-02-01,,CSAT,4.395293532184701
Monthly,2008-03-01,,CSAT,4.391045586558405
Monthly,2008-04-01,,CSAT,4.3693952117215895
Monthly,2008-05-01,,CSAT,4.3684900929467085
Monthly,2008-06-01,,CSAT,4.357762352749821
Monthly,2008-07-01,,CSAT,4.374067583419087
Monthly,2008-08-01,,CSAT,4.316723643250107
Monthly,2008-09-01,,CSAT,4.327695861993061
Monthly,2008-10-01,,CSAT,4.309843553753327
Monthly,2008-11-01,,CSAT,4.338705668167215
Monthly,2008-12-01,,CSAT,4.30636143067709
Monthly,2009-01-01,,CSAT,4.329490520285204
Monthly,2009-02-01,,CSAT,4.311309290354684
Monthly,2009-03-01,,CSAT,4.326276730296635
Monthly,2009-04-01,,CSAT,4.302666243902983
Monthly,2009-05-01,,CSAT,4.31698662911915
Monthly,2009-06-01,,CSAT,4.30998146561381
Monthly,2009-07-01,,CSAT,4.2803776184252165
Monthly,2009-08-01,,CSAT,4.2905617816171056
Monthly,2009-09-01,,CSAT,4.2949041890343596
Monthly,2009-10-01,,CSAT,4.342965070601857
Monthly,2009-11-01,,CSAT,4.322171379357095
Monthly,2009-12-01,,CSAT,4.309720686692684
Monthly,2010-01-01,,CSAT,4.296059368997593
Monthly,2010-02-01,,CSAT,4.319388333610962
Monthly,2010-03-01,,CSAT,4.295375348081789
Monthly,2010-04-01,,CSAT,4.297829036754351
Monthly,2010-05-01,,CSAT,4.2833465796552135
Monthly,2010-06-01,,CSAT,4.295986251360558
Monthly,2010-07-01,,CSAT,4.249636059151151
Monthly,2010-08-01,,CSAT,4.19540724607764
Monthly,2010-09-01,,CSAT,4.176224011352185
Monthly,2010-10-01,,CSAT,4.148333701289817
Monthly,2010-11-01,,CSAT,4.166175177050235
Monthly,2010-12-01,,CSAT,4.1294282228917805
Monthly,2011-01-01,,CSAT,4.135596372956864
Monthly,2011-02-01,,CSAT,4.093112138590711
Monthly,2011-03-01,,CSAT,4.1247184031812685
Monthly,2011-04-01,,CSAT,4.127126133333948
Monthly,2011-05-01,,CSAT,4.154765876398045
Monthly,2011-06-01,,CSAT,4.140211472794266
Monthly,2011-07-01,,CSAT,4.141452333546426
Monthly,2011-08-01,,CSAT,4.153752245595679
Monthly,2011-09-01,,CSAT,4.167038600607753
Monthly,2011-10-01,,CSAT,4.166248622422059
Monthly,2011-11-01,,CSAT,4.144532944066285
Monthly,2011-12-01,,CSAT,4.09930069052276
Monthly,2012-01-01,,CSAT,4.090584158464217
Monthly,2012-02-01,,CSAT,4.080033628848931
Monthly,2012-03-01,,CSAT,4.086432116560555
Monthly,2012-04-01,,CSAT,4.100515885574298
Monthly,2012-05-01,,CSAT,4.111232559470164
Monthly,2012-06-01,,CSAT,4.123776124524011
Monthly,2012-07-01,,CSAT,4.121599724805914
Monthly,2012-08-01,,CSAT,4.1253547701765205
Monthly,2012-09-01,,CSAT,4.141229370114536
Monthly,2012-10-01,,CSAT,4.154254361848772
Product,,7310172001,NPS,87.69122146387386
Product,,B00004CI84,NPS,62.093023255813954
Product,,B00004CXX9,NPS,94.82439926062847
Product,,B00004RAMY,NPS,75.8283693224125
Product,,B00004RYGX,NPS,56.97556310812186
Product,,B000084E6V,NPS,2.5390625
Product,,B000084ETV,NPS,58.02228727832171
Product,,B000084EZ4,NPS,80.89816571790007
Product,,B00008CQVA,NPS,88.17393048798836
Product,,B00014DXCC,NPS,90.97041482976576
Product,,B00014JYNO,NPS,100.0
Product,,B0001ES9F8,NPS,96.60056657223795
Product,,B0001ES9FI,NPS,92.56698357821953
Product,,B00020HHAO,NPS,93.3142311365807
Product,,B00020HHE0,NPS,94.25620336420585
Product,,B00020HHGS,NPS,86.06965174129353
Product,,B00020HHHC,NPS,79.05412292324941
Product,,B00020HHK4,NPS,80.16503191654988
Product,,B00020HHM2,NPS,75.87835678154855
Product,,B00020HHRW,NPS,96.29872330810079
Product,,B000255OIG,NPS,82.60869565217392
Product,,B0002ARQYQ,NPS,72.8813559322034
Product,,B0002DGRPC,NPS,59.776536312849146
Product,,B0002DGRQ6,NPS,83.4710743801653
Product,,B0002DGRRA,NPS,75.1483870967742
Product,,B0002DGRSY,NPS,83.72591006423983
Product,,B0002DGRZC,NPS,71.73913043478262
Product,,B0006I5M2M,NPS,77.62148337595907
Product,,B0006MWNP2,NPS,95.24240105724421
Product,,B00073IVAQ,NPS,94.47679671985127
Product,,B00073JVFU,NPS,77.0429305486491
Product,,B0007A0AQM,NPS,54.513909944144615
Product,,B0007A0AQW,NPS,63.81464240147502
Product,,B0007NOWMM,NPS,90.60927892677473
Product,,B0008IT4OM,NPS,30.900611665312404
Product,,B0009ETA6W,NPS,48.18633671742808
Product,,B0009ETA76,NPS,42.60929270600451
Product,,B0009F3POY,NPS,84.59074847334749
Product,,B0009XQWDM,NPS,52.196507117536804
Product,,B0009YJ4CW,NPS,21.51898734177216
Product,,B000BRR8VQ,NPS,43.09774436090226
Product,,B000CNB4LE,NPS,8.075220351082587
Product,,B000CPZSC8,NPS,90.14084507042254
Product,,B000CQBZOW,NPS,90.06479481641466
Product,,B000CQBZPG,NPS,74.28672067629446
Product,,B000CQC050,NPS,89.07103825136612
Product,,B000CQC05K,NPS,93.63395225464191
Product,,B000CQC05U,NPS,81.22411412793372
Product,,B000CQC064,NPS,80.33898305084747
Product,,B000CQC08C,NPS,92.59506852132776
Product,,B000CQE3HS,NPS,62.8050975450696
Product,,B000CQE3IC,NPS,38.824503311258276
Product,,B000CQE3NM,NPS,71.15384615384615
Product,,B000CQG87Q,NPS,84.94271685761048
Product,,B000CQG89Y,NPS,89.92805755395685
Product,,B000CQG8AS,NPS,90.25182778229083
Product,,B000CQG8B2,NPS,65.26138279932547
Product,,B000CQG8K8,NPS,77.11345577699623
Product,,B000CQG8KS,NPS,67.84891754951636
Product,,B000CQID1A,NPS,16.975642508112948
Product,,B000CQID1K,NPS,31.241942415126783
Product,,B000CQID6U,NPS,85.22167487684729
Product,,B000CQIDHE,NPS,74.75728155339807
Product,,B000CQIDHO,NPS,81.6915422885572
Product,,B000CQIDHY,NPS,78.02197802197801
Product,,B000DZDJ0K,NPS,82.10192205960148
Product,,B000DZFMEQ,NPS,83.26359832635984
Product,,B000E8WIAS,NPS,49.04698143061239
Product,,B000EDDS6Q,NPS,88.29268292682927
Product,,B000EMU2BG,NPS,73.91304347826086
Product,,B000ENUC3S,NPS,89.45736738465999
Product,,B000EQVAFY,NPS,6.155950752393982
Product,,B000ESLJ6C,NPS,58.874180696568565
Product,,B000ET4SM8,NPS,86.74211802748586
Product,,B000EVG8FQ,NPS,82.6086956521739
Product,,B000EVG8H4,NPS,79.74683544303798
Product,,B000EVG8HY,NPS,100.0
Product,,B000EVOSE4,NPS,81.53311540289465
Product,,B000F6SNPS,NPS,-46.95431472081218
