TopicId,Sentiment,Keyword,Count,ThemeName
0,Detractor,br,1,General / Other
0,Detractor,hair,1,General / Other
0,Detractor,just,1,General / Other
0,Detractor,like,1,General / Other
0,Detractor,make,1,General / Other
0,Detractor,product,1,General / Other
0,Detractor,products,1,General / Other
0,Detractor,sauce,1,General / Other
0,Detractor,time,1,General / Other
0,Detractor,use,1,General / Other
0,Detractor,used,1,General / Other
0,Detractor,water,1,General / Other
0,Promoter,bars,1,Delivery Speed / Shipping
0,Promoter,br,1,Delivery Speed / Shipping
0,Promoter,chocolate,1,Delivery Speed / Shipping
0,Promoter,flavor,1,Delivery Speed / Shipping
0,Promoter,good,1,Delivery Speed / Shipping
0,Promoter,great,1,Delivery Speed / Shipping
0,Promoter,just,1,Delivery Speed / Shipping
0,Promoter,like,1,Delivery Speed / Shipping
0,Promoter,really,1,Delivery Speed / Shipping
0,Promoter,sugar,1,Delivery Speed / Shipping
0,Promoter,sweet,1,Delivery Speed / Shipping
0,Promoter,taste,1,Delivery Speed / Shipping
1,Detractor,amazon,1,Packaging / Damage
1,Detractor,bag,1,Packaging / Damage
1,Detractor,bags,1,Packaging / Damage
1,Detractor,box,1,Packaging / Damage
1,Detractor,buy,1,Packaging / Damage
1,Detractor,chips,1,Packaging / Damage
1,Detractor,cups,1,Packaging / Damage
1,Detractor,order,1,Packaging / Damage
1,Detractor,ordered,1,Packaging / Damage
1,Detractor,price,1,Packaging / Damage
1,Detractor,product,1,Packaging / Damage
1,Detractor,received,1,Packaging / Damage
1,Promoter,br,1,Delicious / Love
1,Promoter,cat,1,Delicious / Love
1,Promoter,cats,1,Delicious / Love
1,Promoter,dog,1,Delicious / Love
1,Promoter,dogs,1,Delicious / Love
1,Promoter,eat,1,Delicious / Love
1,Promoter,food,1,Delicious / Love
1,Promoter,great,1,Delicious / Love
1,Promoter,like,1,Delicious / Love
1,Promoter,love,1,Delicious / Love
1,Promoter,loves,1,Delicious / Love
1,Promoter,treats,1,Delicious / Love
2,Detractor,bars,1,Packaging / Damage
2,Detractor,box,1,Packaging / Damage
2,Detractor,br,1,Packaging / Damage
2,Detractor,candy,1,Packaging / Damage
2,Detractor,chocolate,1,Packaging / Damage
2,Detractor,cookies,1,Packaging / Damage
2,Detractor,good,1,Packaging / Damage
2,Detractor,just,1,Packaging / Damage
2,Detractor,like,1,Packaging / Damage
2,Detractor,product,1,Packaging / Damage
2,Detractor,stale,1,Packaging / Damage
2,Detractor,taste,1,Packaging / Damage
2,Promoter,best,1,Taste & Freshness
2,Promoter,br,1,Taste & Freshness
2,Promoter,chips,1,Taste & Freshness
2,Promoter,cookies,1,Taste & Freshness
2,Promoter,flavor,1,Taste & Freshness
2,Promoter,free,1,Taste & Freshness
2,Promoter,good,1,Taste & Freshness
2,Promoter,great,1,Taste & Freshness
2,Promoter,just,1,Taste & Freshness
2,Promoter,like,1,Taste & Freshness
2,Promoter,love,1,Taste & Freshness
2,Promoter,taste,1,Taste & Freshness
3,Detractor,didn,1,Taste & Freshness
3,Detractor,don,1,Taste & Freshness
3,Detractor,eat,1,Taste & Freshness
3,Detractor,eating,1,Taste & Freshness
3,Detractor,food,1,Taste & Freshness
3,Detractor,good,1,Taste & Freshness
3,Detractor,just,1,Taste & Freshness
3,Detractor,like,1,Taste & Freshness
3,Detractor,really,1,Taste & Freshness
3,Detractor,taste,1,Taste & Freshness
3,Detractor,tried,1,Taste & Freshness
3,Detractor,try,1,Taste & Freshness
3,Promoter,br,1,Taste & Freshness
3,Promoter,drink,1,Taste & Freshness
3,Promoter,flavor,1,Taste & Freshness
3,Promoter,good,1,Taste & Freshness
3,Promoter,great,1,Taste & Freshness
3,Promoter,green,1,Taste & Freshness
3,Promoter,hot,1,Taste & Freshness
3,Promoter,like,1,Taste & Freshness
3,Promoter,love,1,Taste & Freshness
3,Promoter,taste,1,Taste & Freshness
3,Promoter,tea,1,Taste & Freshness
3,Promoter,teas,1,Taste & Freshness
4,Detractor,br,1,General / Other
4,Detractor,cat,1,General / Other
4,Detractor,cats,1,General / Other
4,Detractor,chicken,1,General / Other
4,Detractor,china,1,General / Other
4,Detractor,dog,1,General / Other
4,Detractor,dogs,1,General / Other
4,Detractor,food,1,General / Other
4,Detractor,jerky,1,General / Other
4,Detractor,product,1,General / Other
4,Detractor,treat,1,General / Other
4,Detractor,treats,1,General / Other
4,Promoter,amazon,1,Price & Value
4,Promoter,best,1,Price & Value
4,Promoter,coffee,1,Price & Value
4,Promoter,cup,1,Price & Value
4,Promoter,flavor,1,Price & Value
4,Promoter,good,1,Price & Value
4,Promoter,great,1,Price & Value
4,Promoter,like,1,Price & Value
4,Promoter,love,1,Price & Value
4,Promoter,price,1,Price & Value
4,Promoter,product,1,Price & Value
4,Promoter,taste,1,Price & Value
5,Detractor,bad,1,Taste & Freshness
5,Detractor,coconut,1,Taste & Freshness
5,Detractor,coffee,1,Taste & Freshness
5,Detractor,cup,1,Taste & Freshness
5,Detractor,don,1,Taste & Freshness
5,Detractor,flavor,1,Taste & Freshness
5,Detractor,good,1,Taste & Freshness
5,Detractor,just,1,Taste & Freshness
5,Detractor,like,1,Taste & Freshness
5,Detractor,product,1,Taste & Freshness
5,Detractor,taste,1,Taste & Freshness
5,Detractor,water,1,Taste & Freshness
5,Promoter,bag,1,Packaging / Damage
5,Promoter,box,1,Packaging / Damage
5,Promoter,br,1,Packaging / Damage
5,Promoter,good,1,Packaging / Damage
5,Promoter,hot,1,Packaging / Damage
5,Promoter,just,1,Packaging / Damage
5,Promoter,like,1,Packaging / Damage
5,Promoter,product,1,Packaging / Damage
5,Promoter,salt,1,Packaging / Damage
5,Promoter,sauce,1,Packaging / Damage
5,Promoter,use,1,Packaging / Damage
5,Promoter,water,1,Packaging / Damage
6,Detractor,br,1,Taste & Freshness
6,Detractor,drink,1,Taste & Freshness
6,Detractor,flavor,1,Taste & Freshness
6,Detractor,good,1,Taste & Freshness
6,Detractor,just,1,Taste & Freshness
6,Detractor,like,1,Taste & Freshness
6,Detractor,sugar,1,Taste & Freshness
6,Detractor,sweet,1,Taste & Freshness
6,Detractor,taste,1,Taste & Freshness
6,Detractor,tastes,1,Taste & Freshness
6,Detractor,tea,1,Taste & Freshness
6,Detractor,tried,1,Taste & Freshness
6,Promoter,bread,1,Taste & Freshness
6,Promoter,butter,1,Taste & Freshness
6,Promoter,coconut,1,Taste & Freshness
6,Promoter,good,1,Taste & Freshness
6,Promoter,great,1,Taste & Freshness
6,Promoter,like,1,Taste & Freshness
6,Promoter,oil,1,Taste & Freshness
6,Promoter,popcorn,1,Taste & Freshness
6,Promoter,product,1,Taste & Freshness
6,Promoter,taste,1,Taste & Freshness
6,Promoter,use,1,Taste & Freshness
6,Promoter,used,1,Taste & Freshness
7,Detractor,amazon,1,Quality / Ingredients
7,Detractor,br,1,Quality / Ingredients
7,Detractor,com,1,Quality / Ingredients
7,Detractor,corn,1,Quality / Ingredients
7,Detractor,free,1,Quality / Ingredients
7,Detractor,ingredient,1,Quality / Ingredients
7,Detractor,ingredients,1,Quality / Ingredients
7,Detractor,natural,1,Quality / Ingredients
7,Detractor,oil,1,Quality / Ingredients
7,Detractor,organic,1,Quality / Ingredients
7,Detractor,product,1,Quality / Ingredients
7,Detractor,sugar,1,Quality / Ingredients
7,Promoter,dog,1,Delicious / Love
7,Promoter,dogs,1,Delicious / Love
7,Promoter,good,1,Delicious / Love
7,Promoter,great,1,Delicious / Love
7,Promoter,just,1,Delicious / Love
7,Promoter,like,1,Delicious / Love
7,Promoter,love,1,Delicious / Love
7,Promoter,loves,1,Delicious / Love
7,Promoter,product,1,Delicious / Love
7,Promoter,time,1,Delicious / Love
7,Promoter,treat,1,Delicious / Love
7,Promoter,treats,1,Delicious / Love
